,personal pronouns,articles,hf adverbs,prepositions,total words,impersonal pronouns,quantifiers,auxiliary verbs,negations,conjunctions
List of circle topics,0.0,0.0289256198347,0.0,0.068870523416,726,0.00137741046832,0.0,0.00413223140496,0.00275482093664,0.0151515151515
List of interactive geometry software,0.00314795383001,0.0501573976915,0.001259181532,0.0514165792235,4765,0.00503672612802,0.00566631689402,0.0222455403987,0.000839454354669,0.0262329485834
List of triangle inequalities,0.00861344537815,0.0943277310924,0.0,0.0871848739496,4760,0.00210084033613,0.00861344537815,0.0201680672269,0.000210084033613,0.0310924369748
List of triangle topics,0.0,0.0199714693295,0.0,0.0656205420827,701,0.00142653352354,0.0,0.00285306704708,0.00142653352354,0.00855920114123
List of trigonometry topics,0.002886002886,0.012987012987,0.0,0.0894660894661,693,0.001443001443,0.004329004329,0.00721500721501,0.0,0.01443001443
Locus (mathematics),0.00335195530726,0.143016759777,0.00111731843575,0.102793296089,895,0.00111731843575,0.0100558659218,0.0435754189944,0.00223463687151,0.0178770949721
Mathematical morphology,0.00156298843389,0.0928415129728,0.00125039074711,0.0978430759612,3199,0.00437636761488,0.00625195373554,0.0396999062207,0.000312597686777,0.0393873085339
Mathematics,0.0040472544301,0.0635528330781,0.00196893458762,0.0976810325968,9142,0.00448479544957,0.00787573835047,0.0295340188143,0.00196893458762,0.0316123386567
Mathematics and fiber arts,0.00251046025105,0.0577405857741,0.0,0.0635983263598,1195,0.0,0.00585774058577,0.0209205020921,0.0,0.0259414225941
Matrix representation of conic sections,0.01259181532,0.124868835257,0.00104931794334,0.112277019937,953,0.0167890870934,0.00524658971668,0.0461699895068,0.00104931794334,0.0325288562434
Minkowski addition,0.0050831792976,0.0767097966728,0.00138632162662,0.0873382624769,2164,0.00462107208872,0.00739371534196,0.021719038817,0.000462107208872,0.014325323475
Minkowski space,0.00570913461538,0.0835336538462,0.00120192307692,0.0895432692308,3328,0.00450721153846,0.00811298076923,0.0387620192308,0.00300480769231,0.0189302884615
Minkowski's theorem,0.0081053698075,0.0840932117528,0.0,0.111448834853,987,0.00709219858156,0.0111448834853,0.0385005065856,0.00709219858156,0.0222897669706
Mirror image,0.00763941940413,0.136745607334,0.000763941940413,0.146676852559,1309,0.00916730328495,0.00534759358289,0.0381970970206,0.0061115355233,0.0305576776165
Monge's theorem,0.00341296928328,0.122866894198,0.0,0.107508532423,586,0.00170648464164,0.0221843003413,0.0324232081911,0.00341296928328,0.0170648464164
Mrs. Miniver's problem,0.010752688172,0.129032258065,0.00215053763441,0.109677419355,465,0.00860215053763,0.00645161290323,0.0408602150538,0.00430107526882,0.0258064516129
Möbius transformation,0.00628246949378,0.120816721034,0.000483266884137,0.107647698441,8277,0.00374531835206,0.00869880391446,0.0396278844992,0.00205388425758,0.0207804760179
N-sphere,0.00266134397871,0.115103127079,0.000665335994677,0.0998003992016,3006,0.00365934797073,0.00698602794411,0.0349301397206,0.000665335994677,0.0163007318696
Napkin ring problem,0.00202839756592,0.144016227181,0.0,0.135902636917,986,0.00608519269777,0.00101419878296,0.0304259634888,0.00709939148073,0.025354969574
Nine-point circle,0.00423131170663,0.134461683122,0.000470145745181,0.0954395862717,2127,0.00517160319699,0.0075223319229,0.0282087447109,0.000940291490362,0.0230371415139
Non-Euclidean geometry,0.00975127190503,0.0874788015828,0.000989259468626,0.103306953081,7076,0.00395703787451,0.00763143018655,0.0333521763708,0.00409836065574,0.0236009044658
Non-uniform rational B-spline,0.00505561172902,0.110616784631,0.00121334681496,0.104145601618,4945,0.00707785642063,0.00707785642063,0.0459049544995,0.00283114256825,0.0273003033367
Noncommutative geometry,0.00397702165267,0.0707026071586,0.00132567388422,0.101193106496,2263,0.00265134776845,0.00839593460009,0.0269553689792,0.00176756517897,0.0212107821476
Normal (geometry),0.0016501650165,0.162266226623,0.0016501650165,0.118261826183,1818,0.00660066006601,0.003300330033,0.0539053905391,0.0038503850385,0.018701870187
Ordered geometry,0.00283822138127,0.0946073793756,0.0,0.102175969726,1057,0.000946073793756,0.0085146641438,0.0359508041627,0.0085146641438,0.0293282876064
Orthocentric system,0.00384193194292,0.150933040615,0.00109769484083,0.0949506037322,1822,0.00713501646542,0.0142700329308,0.0351262349067,0.000548847420417,0.0225027442371
Orthodiagonal quadrilateral,0.00291885580852,0.137769994162,0.000583771161705,0.108581436077,1713,0.00408639813193,0.0122591943958,0.0443666082896,0.000583771161705,0.0233508464682
Oval (projective plane),0.00276381909548,0.0746231155779,0.0,0.0841708542714,3980,0.00175879396985,0.00753768844221,0.0306532663317,0.00251256281407,0.0158291457286
Pappus's centroid theorem,0.00323624595469,0.129449838188,0.0,0.113268608414,309,0.00647249190939,0.0,0.0258899676375,0.0,0.0355987055016
Pappus's hexagon theorem,0.00632911392405,0.0800180831826,0.0,0.0953887884268,2212,0.00316455696203,0.00542495479204,0.0420433996383,0.00361663652803,0.0262206148282
Parabola,0.00433160871135,0.146552761401,0.00108290217784,0.12164601131,8311,0.00709902538804,0.00649741306702,0.0486102755384,0.00204548189147,0.0239441703766
Parabolic geometry (differential geometry),0.0,0.140271493213,0.00226244343891,0.108597285068,442,0.00678733031674,0.00226244343891,0.0475113122172,0.0,0.0135746606335
Parabolic microphone,0.00990099009901,0.0891089108911,0.003300330033,0.118811881188,303,0.0,0.00990099009901,0.042904290429,0.00660066006601,0.019801980198
Parabolic reflector,0.00426136363636,0.118607954545,0.00284090909091,0.112215909091,2816,0.0110085227273,0.00532670454545,0.0493607954545,0.00355113636364,0.0245028409091
Paraboloid,0.00235478806907,0.137362637363,0.000784929356358,0.105180533752,1274,0.00706436420722,0.00235478806907,0.0478806907378,0.00156985871272,0.0259026687598
Parallel (geometry),0.0131386861314,0.0948905109489,0.00109489051095,0.103649635036,2740,0.0043795620438,0.00620437956204,0.0489051094891,0.00912408759124,0.0251824817518
Parallel postulate,0.0204687036488,0.0910708988431,0.0,0.0961139127855,3371,0.00533966182142,0.009196084248,0.036784336992,0.00593295757935,0.0204687036488
Parallelepiped,0.0031746031746,0.115555555556,0.000634920634921,0.0901587301587,1575,0.00634920634921,0.00825396825397,0.0425396825397,0.00126984126984,0.024126984127
Parallelogram law,0.0,0.131972789116,0.0,0.100680272109,735,0.00544217687075,0.00544217687075,0.0353741496599,0.00272108843537,0.0244897959184
Parametric equation,0.00134138162307,0.107310529846,0.00134138162307,0.116700201207,1491,0.00201207243461,0.00871898054997,0.0429242119383,0.00201207243461,0.0254862508384
Parametric surface,0.0031113876789,0.151213441195,0.00248911014312,0.110765401369,1607,0.00435594275047,0.00684505289359,0.0460485376478,0.000622277535781,0.025513378967
Pascal's theorem,0.00603318250377,0.100678733032,0.000754147812971,0.108597285068,2652,0.0026395173454,0.0052790346908,0.0328054298643,0.000377073906486,0.0192307692308
Pattern,0.0032292787944,0.0513096519555,0.00143523501973,0.0764262648009,2787,0.0032292787944,0.00717617509867,0.0229637603158,0.00251166128454,0.0290635091496
Pedal triangle,0.0,0.099730458221,0.0,0.0835579514825,742,0.0,0.00269541778976,0.0242587601078,0.00269541778976,0.0148247978437
Pedoe's inequality,0.0,0.117647058824,0.0,0.126696832579,221,0.00452488687783,0.00452488687783,0.0316742081448,0.00904977375566,0.0361990950226
Penrose tiling,0.00391330523781,0.0862432269717,0.00135460565924,0.0891029500301,6644,0.00376279349789,0.00722456351595,0.0298013245033,0.00210716435882,0.0293497892836
Pi,0.0037004788855,0.0712523581483,0.00116093455231,0.086707299376,13782,0.00457117979974,0.00602234799013,0.0268466115223,0.00282977797127,0.0249600928748
Pick's theorem,0.0137142857143,0.0971428571429,0.00228571428571,0.112,875,0.008,0.008,0.0365714285714,0.00114285714286,0.016
Plane at infinity,0.00314465408805,0.126834381551,0.0,0.110062893082,954,0.00314465408805,0.0167714884696,0.0303983228512,0.0020964360587,0.0146750524109
Platonic solid,0.00606493043168,0.111487691759,0.00160542276133,0.0993578308955,5606,0.00392436674991,0.0128433820906,0.0387085265787,0.0012486621477,0.023011059579
Point (geometry),0.00470311581423,0.0899470899471,0.00352733686067,0.0964138741917,1701,0.00470311581423,0.00999412110523,0.0388007054674,0.00352733686067,0.0217519106408
Point at infinity,0.00677966101695,0.127683615819,0.00112994350282,0.109604519774,885,0.00225988700565,0.00790960451977,0.0350282485876,0.0135593220339,0.0180790960452
Point group,0.00290878869728,0.0243091626844,0.000207770621234,0.0284645751091,4813,0.000623311863702,0.00332432993975,0.0091419073343,0.0,0.0112196135466
Point groups in three dimensions,0.0063372995344,0.0924728401449,0.000129332643559,0.100362131402,7732,0.00504397309881,0.00775995861355,0.0377651319193,0.00271598551474,0.0250905328505
Point groups in two dimensions,0.00486080424216,0.090587715422,0.000883782589483,0.0945647370747,2263,0.00265134776845,0.0145824127265,0.0318161732214,0.00220945647371,0.0278391515687
Point in polygon,0.0020964360587,0.122292103424,0.0020964360587,0.11320754717,1431,0.00908455625437,0.0118798043326,0.0300489168414,0.0041928721174,0.0174703004892
Point location,0.0136286201022,0.103918228279,0.0,0.0890119250426,2348,0.00553662691652,0.0127768313458,0.0332197614991,0.00255536626917,0.0166098807496
Polar sine,0.0015873015873,0.111111111111,0.0,0.122222222222,630,0.00634920634921,0.0047619047619,0.0349206349206,0.0031746031746,0.0142857142857
Polygon,0.0049515164019,0.0856199711162,0.0016505054673,0.0750979987621,4847,0.00536414276872,0.0111409119043,0.0342479884465,0.00412626366825,0.0297090984114
Polygon triangulation,0.00354107648725,0.0701133144476,0.0014164305949,0.0800283286119,1412,0.0028328611898,0.0056657223796,0.0276203966006,0.0,0.0212464589235
Polyhedron,0.00850701829009,0.096980008507,0.00113426910535,0.0966964412307,7053,0.00567134552673,0.0157379838367,0.0431022260031,0.00396994186871,0.0293492131008
Polytope,0.00466562986003,0.0898911353033,0.000311041990669,0.09300155521,3215,0.0049766718507,0.0102643856921,0.0367029548989,0.00311041990669,0.0314152410575
Polytope compound,0.00271002710027,0.0666666666667,0.000542005420054,0.0639566395664,1845,0.00271002710027,0.00867208672087,0.0265582655827,0.00108401084011,0.0168021680217
Poncelet–Steiner theorem,0.00282485875706,0.0677966101695,0.0,0.0819209039548,354,0.00847457627119,0.00847457627119,0.0310734463277,0.0112994350282,0.0254237288136
Pons asinorum,0.00586797066015,0.0973105134474,0.0,0.0933985330073,2045,0.0078239608802,0.0039119804401,0.039608801956,0.00342298288509,0.0317848410758
Power center (geometry),0.0,0.102201257862,0.00157232704403,0.0990566037736,636,0.00471698113208,0.0157232704403,0.0251572327044,0.0,0.0125786163522
Prism (geometry),0.00117096018735,0.0901639344262,0.0,0.0685011709602,1708,0.00409836065574,0.00351288056206,0.0386416861827,0.00117096018735,0.0204918032787
Prismatoid,0.00214132762313,0.0877944325482,0.0,0.10278372591,467,0.00642398286938,0.0107066381156,0.0364025695931,0.0,0.0278372591006
Projective geometry,0.00309936189608,0.0833181403829,0.00127620783956,0.107019143118,5485,0.00546946216955,0.0100273473108,0.0357338195077,0.00382862351869,0.0255241567912
Projective line,0.0034188034188,0.100854700855,0.0011396011396,0.104273504274,1755,0.0045584045584,0.00854700854701,0.0358974358974,0.0022792022792,0.00854700854701
Projective line over a ring,0.00537441777141,0.0899319240416,0.0,0.0902902185597,2791,0.00322465066284,0.00250806162666,0.0311716230742,0.0,0.0211393765675
Projective plane,0.0061871616396,0.108662026295,0.00025779840165,0.0973188966228,7758,0.0030935808198,0.0127610208817,0.0444702242846,0.00502706883217,0.0188192833204
Projective space,0.00346553715826,0.0914516750096,0.00134770889488,0.0910666153254,5194,0.00462071621101,0.00943396226415,0.041393916057,0.00346553715826,0.0182903350019
Prototile,0.00138696255201,0.0804438280166,0.00138696255201,0.0707350901526,721,0.00554785020804,0.0138696255201,0.0346740638003,0.00277392510402,0.0208044382802
Pseudosphere,0.00108695652174,0.095652173913,0.0,0.0923913043478,920,0.00760869565217,0.00434782608696,0.0271739130435,0.0,0.0195652173913
Ptolemy's theorem,0.00606585788562,0.100519930676,0.000866551126516,0.106585788562,2308,0.00909878682842,0.00259965337955,0.0320623916811,0.00216637781629,0.0225303292894
Pyramid (geometry),0.00183598531212,0.111995104039,0.000611995104039,0.0801713586291,1634,0.00183598531212,0.0134638922889,0.0416156670747,0.0,0.0232558139535
Pythagorean theorem,0.00401123144805,0.109025270758,0.000882470918572,0.0991576413959,12465,0.00312876052948,0.00649819494585,0.0304853590052,0.00160449257922,0.0211793020457
Pythagorean triple,0.00347624565469,0.0909090909091,0.00021068155483,0.0893289792479,9493,0.00431897187401,0.00969135152217,0.0366585905404,0.00273886021279,0.0229642894765
Quadric,0.00376789751319,0.0949510173323,0.00150715900528,0.0994724943482,1327,0.00226073850791,0.00828937452901,0.0406932931424,0.000753579502638,0.0286360211002
Quadrilateral,0.00227747200607,0.116910229645,0.000189789333839,0.0920478269121,5269,0.00379578667679,0.00759157335358,0.0404251281078,0.00208768267223,0.0292275574113
Quantum geometry,0.0009765625,0.0634765625,0.0029296875,0.0693359375,1024,0.00390625,0.0048828125,0.0263671875,0.0,0.0126953125
Quasicrystal,0.00723327305606,0.0671087000201,0.000803697006229,0.088004822182,4977,0.00482218203737,0.0056258790436,0.0283303194696,0.00261201527024,0.0231062889291
Ray tracing (graphics),0.00640751815463,0.106791969244,0.00128150363093,0.107859888936,4682,0.00747543784707,0.0117471166168,0.0363092695429,0.00299017513883,0.0277659120034
Rectangle,0.000867678958785,0.100650759219,0.000433839479393,0.104121475054,2305,0.00997830802603,0.0130151843818,0.0459869848156,0.00260303687636,0.0216919739696
Reflection (mathematics),0.00263852242744,0.129287598945,0.0,0.124890061566,1137,0.00439753737907,0.00703605980651,0.0404573438874,0.00263852242744,0.0158311345646
Regular Polytopes (book),0.00457317073171,0.0853658536585,0.0,0.0975609756098,656,0.00914634146341,0.00762195121951,0.0213414634146,0.0,0.0411585365854
Regular polytope,0.00617772849675,0.0997940757168,0.000633613179154,0.0882306351972,6313,0.00491050213844,0.0131474734674,0.041184856645,0.00269285601141,0.0281957864724
Relative direction,0.00843373493976,0.0855421686747,0.00180722891566,0.089156626506,1660,0.00542168674699,0.00602409638554,0.0373493975904,0.00301204819277,0.0343373493976
Reuleaux triangle,0.00218459858001,0.0922992900055,0.00163844893501,0.105953031131,1831,0.00709994538504,0.00764609503004,0.0333151283452,0.00436919716002,0.0163844893501
Rhombus,0.0,0.137160120846,0.000604229607251,0.0978851963746,1655,0.00725075528701,0.0187311178248,0.0447129909366,0.000604229607251,0.0229607250755
Riemann sphere,0.0048971596474,0.122102513875,0.00130590923931,0.100555011427,3063,0.00620306888671,0.0120796604636,0.0444009141365,0.00424420502775,0.0179562520405
Riemannian geometry,0.00282485875706,0.0640301318267,0.00188323917137,0.0913370998117,2124,0.00800376647834,0.00988700564972,0.0277777777778,0.00141242937853,0.0122410546139
Right triangle,0.00137804317869,0.139641708774,0.0,0.0914101975195,2177,0.00413412953606,0.00780891134589,0.0385852090032,0.000459347726229,0.0312356453836
Robot control,0.00526315789474,0.0263157894737,0.0,0.0315789473684,190,0.0,0.00526315789474,0.0210526315789,0.00526315789474,0.0210526315789
Roman surface,0.00832342449465,0.110582639715,0.000396353547364,0.10225921522,2523,0.0107015457788,0.00871977804201,0.0439952437574,0.00237812128419,0.0237812128419
Root system,0.00660550458716,0.0900917431193,0.0,0.0963302752294,5450,0.00293577981651,0.0100917431193,0.037247706422,0.00275229357798,0.0234862385321
Rotation (mathematics),0.00513750377758,0.116953762466,0.00362647325476,0.113629495316,3309,0.00664853430039,0.00815956482321,0.0519794499849,0.00453309156845,0.0235720761559
Ruppeiner geometry,0.00554016620499,0.112188365651,0.0,0.106648199446,722,0.01108033241,0.00415512465374,0.0650969529086,0.00415512465374,0.0138504155125
Sangaku,0.00287769784173,0.0618705035971,0.0,0.0863309352518,695,0.00143884892086,0.00431654676259,0.0230215827338,0.00143884892086,0.0302158273381
Schläfli symbol,0.00166223404255,0.0511968085106,0.000332446808511,0.048204787234,3008,0.00166223404255,0.00332446808511,0.0295877659574,0.0,0.0196143617021
Semi-major axis,0.000716332378223,0.143266475645,0.000716332378223,0.110315186246,1396,0.00573065902579,0.00286532951289,0.0444126074499,0.000716332378223,0.0272206303725
Shape,0.0126641651032,0.094277673546,0.00093808630394,0.0984990619137,2132,0.00609756097561,0.00797373358349,0.0520637898687,0.00562851782364,0.031894934334
Shear mapping,0.00634057971014,0.134057971014,0.0018115942029,0.110507246377,1104,0.00634057971014,0.0144927536232,0.0371376811594,0.00271739130435,0.026268115942
Similarity (geometry),0.00530705079606,0.0974222896133,0.00113722517058,0.0962850644428,2638,0.00303260045489,0.0147839272176,0.0511751326763,0.00379075056861,0.0227445034117
Soddy's hexlet,0.00645161290323,0.116559139785,0.000860215053763,0.105376344086,2325,0.00860215053763,0.00731182795699,0.04,0.00344086021505,0.0305376344086
Solid geometry,0.00284090909091,0.09375,0.0,0.0880681818182,352,0.00284090909091,0.00284090909091,0.0284090909091,0.00284090909091,0.0454545454545
Space group,0.00401412973667,0.0696852922286,0.0,0.0759473346179,6228,0.00385356454721,0.00610147719974,0.0298651252408,0.0014450867052,0.0176621708414
Sphere,0.00157397691501,0.146642182581,0.00157397691501,0.110703043022,3812,0.00734522560336,0.014165792235,0.050629590766,0.00209863588667,0.0183630640084
Sphere packing,0.00390243902439,0.0907317073171,0.0019512195122,0.0956097560976,3075,0.00260162601626,0.00910569105691,0.0308943089431,0.00130081300813,0.0169105691057
Spherical geometry,0.00277008310249,0.0963988919668,0.000554016620499,0.0997229916898,1805,0.00387811634349,0.00554016620499,0.0376731301939,0.00664819944598,0.015512465374
Spherical trigonometry,0.0043202764977,0.126728110599,0.0014400921659,0.104550691244,3472,0.00230414746544,0.00576036866359,0.0377304147465,0.00172811059908,0.0285138248848
Sphericon,0.0,0.117824773414,0.0,0.129909365559,331,0.0302114803625,0.00906344410876,0.02416918429,0.0,0.02416918429
Spheroid,0.0,0.131326949384,0.00136798905609,0.120383036936,731,0.0123119015048,0.00683994528044,0.06292749658,0.0,0.0259917920657
Spline (mathematics),0.00328767123288,0.0668493150685,0.00109589041096,0.0898630136986,1825,0.00164383561644,0.00383561643836,0.0290410958904,0.000547945205479,0.0268493150685
Square,0.000948766603416,0.119070208729,0.000948766603416,0.0896584440228,2108,0.00474383301708,0.0132827324478,0.0436432637571,0.000948766603416,0.0246679316888
Squaring the circle,0.0113997879109,0.097295864263,0.00106044538706,0.106839872747,3772,0.0076882290562,0.00503711558855,0.0347295864263,0.00424178154825,0.0185577942736
Star polygon,0.00335570469799,0.074384787472,0.00111856823266,0.07774049217,1788,0.00279642058166,0.00503355704698,0.0369127516779,0.00559284116331,0.0318791946309
Steiner chain,0.00469189865499,0.128558023147,0.000938379730998,0.109477635283,3197,0.00250234594933,0.0115733500156,0.0353456365343,0.001876759462,0.0294025649046
Stereographic projection,0.00452816518747,0.108313711284,0.000905633037493,0.102879913059,5521,0.00670168447745,0.00706393769245,0.0309726498823,0.00253577250498,0.0226408259373
Straightedge,0.00621118012422,0.055900621118,0.0,0.055900621118,644,0.0201863354037,0.00931677018634,0.027950310559,0.00310559006211,0.027950310559
Strähle construction,0.016609496299,0.0801588734429,0.00198591803575,0.111933562015,5539,0.00722152012999,0.00523560209424,0.0250947824517,0.002166456039,0.0254558584582
Symmedian,0.00888888888889,0.12,0.0,0.0933333333333,675,0.00740740740741,0.00296296296296,0.0192592592593,0.0,0.0266666666667
Symmetry,0.00501054852321,0.0611814345992,0.00158227848101,0.0893987341772,3792,0.00501054852321,0.00632911392405,0.0276898734177,0.00105485232068,0.0366561181435
Symmetry group,0.00723404255319,0.115319148936,0.000425531914894,0.12,2350,0.00808510638298,0.0114893617021,0.0417021276596,0.00297872340426,0.0212765957447
Symplectic geometry,0.00297619047619,0.0967261904762,0.0,0.0907738095238,1344,0.00223214285714,0.00818452380952,0.0327380952381,0.00223214285714,0.0133928571429
Synthetic geometry,0.00776053215078,0.0814855875831,0.00166297117517,0.110310421286,1804,0.00443458980044,0.009977827051,0.0443458980044,0.00388026607539,0.0293791574279
Systolic geometry,0.00405534351145,0.107347328244,0.00143129770992,0.120467557252,4192,0.00524809160305,0.00500954198473,0.0288645038168,0.00166984732824,0.0140744274809
Tangential quadrilateral,0.00443510737628,0.112044817927,0.000233426704015,0.0945378151261,4284,0.0046685340803,0.00420168067227,0.0429505135387,0.00140056022409,0.031512605042
Taxicab geometry,0.00197433366239,0.110562685094,0.000987166831194,0.120434353406,1013,0.00691016781836,0.00691016781836,0.0335636722606,0.00296150049358,0.0236920039487
Tessellation,0.00364753311576,0.080629679401,0.00191975427145,0.0812056056825,5209,0.00307160683433,0.0117105010559,0.0334037243233,0.00134382799002,0.0226531004031
Tetrahedron,0.00358422939068,0.103804797353,0.000275709953129,0.0861593603529,7254,0.0046870692032,0.00827129859388,0.031982354563,0.0023435346016,0.0213675213675
Thales' theorem,0.00720164609053,0.110596707819,0.00154320987654,0.106481481481,1944,0.00668724279835,0.00514403292181,0.0524691358025,0.000514403292181,0.0277777777778
The Method of Mechanical Theorems,0.00991150442478,0.153628318584,0.0,0.141238938053,2825,0.00778761061947,0.00778761061947,0.0467256637168,0.00212389380531,0.0173451327434
Topology,0.00398671096346,0.0848283499446,0.000221483942414,0.096788482835,4515,0.00398671096346,0.00952380952381,0.0403100775194,0.00398671096346,0.0254706533776
Toric variety,0.00582241630277,0.126637554585,0.00145560407569,0.12154294032,1374,0.00873362445415,0.00727802037846,0.0349344978166,0.0,0.0138282387191
Torus,0.00246360582307,0.126091825308,0.0013437849944,0.100559910414,4465,0.00627099664054,0.00559910414334,0.0434490481523,0.003359462486,0.0172452407615
Transformation geometry,0.00898876404494,0.0831460674157,0.00149812734082,0.113108614232,1335,0.00449438202247,0.00524344569288,0.0202247191011,0.00224719101124,0.0194756554307
Translation (geometry),0.00114416475973,0.132723112128,0.00114416475973,0.104118993135,874,0.00114416475973,0.0114416475973,0.0354691075515,0.0,0.0171624713959
Translational symmetry,0.00640512409928,0.132105684548,0.0,0.123298638911,1249,0.00320256204964,0.013610888711,0.0416333066453,0.00880704563651,0.0208166533227
Trapezoid,0.00369306524415,0.133771029955,0.000410340582684,0.108329913828,2437,0.00451374640952,0.00615510874025,0.0385720147723,0.00123102174805,0.0279031596225
Triangle,0.00406307439296,0.131856438038,0.00125761826449,0.111057366741,10337,0.00609461158944,0.0107381251814,0.044016639257,0.00203153719648,0.0267969430202
Triangle inequality,0.00211352657005,0.119565217391,0.000905797101449,0.106280193237,3312,0.0042270531401,0.00875603864734,0.0365338164251,0.0012077294686,0.0211352657005
Trigonometry,0.00745626613134,0.0886148551764,0.00057355893318,0.102667049039,3487,0.00200745626613,0.00659592773157,0.0309721823917,0.00057355893318,0.0312589618583
Tropical geometry,0.00534045393858,0.0540720961282,0.000667556742323,0.06608811749,1498,0.00333778371162,0.00333778371162,0.022696929239,0.0,0.0180240320427
Uniform polyhedron,0.00212314225053,0.0411117544876,0.000965064659332,0.0494113105578,5181,0.00212314225053,0.00482532329666,0.0165991121405,0.000772051727466,0.0154410345493
Uniform tessellation,0.00116686114352,0.0385064177363,0.0,0.0560093348891,857,0.00116686114352,0.00700116686114,0.0105017502917,0.0,0.0198366394399
Van Hiele model,0.0213687554144,0.0967369332948,0.0014438348253,0.108576378862,3463,0.00664164019636,0.00693040716142,0.0476465492348,0.0115506786024,0.0257002598903
Voronoi diagram,0.0054404687173,0.0872567482737,0.000627746390458,0.0931157145846,4779,0.00334798074911,0.00941619585687,0.032433563507,0.00167399037456,0.0205063820883
Wallace–Bolyai–Gerwien theorem,0.0,0.119914346895,0.0,0.104925053533,467,0.00428265524625,0.0214132762313,0.0449678800857,0.00214132762313,0.03426124197
Wallpaper group,0.00740829250807,0.0917672362289,0.000477954355359,0.100131437448,8369,0.00633289520851,0.00920062134066,0.0373999283068,0.00382363484287,0.0252120922452
Wang tile,0.00568769389866,0.0553257497415,0.000517063081696,0.0729058945191,1934,0.00310237849018,0.00620475698035,0.0196483971044,0.00361944157187,0.0191313340228
Zonohedron,0.00311915159077,0.116032439177,0.00124766063631,0.102308172177,1603,0.00249532127261,0.0199625701809,0.0280723643169,0.00124766063631,0.0168434185901
